,subject_race_black,subject_race_asian/pacific islander,subject_race_other,vehicle_tier_LUXURY,vehicle_tier_MID,vehicle_tier_UNKNOWN,violation_severity_2.0,violation_severity_3.0,city_location_east,city_location_north,city_location_south,city_location_unknown,city_location_west,age_category_25-34,age_category_35-54,age_category_55-64,age_category_Unknown,year_cat_2019,year_cat_2020,disposition_severity,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,vehicle_tier_other
929717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929718,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929719,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929720,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929721,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929722,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929723,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929724,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929725,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929726,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929727,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929728,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929729,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929730,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929731,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929732,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
929733,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0
